Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Afghanistan,AFG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-9.4319740700862,28.6000011706788,8.83227780288267,1.41411799339429,11.2297148272859,5.35740324748592,13.8263195471281,3.92498381999467,21.3905283926492,14.3624414710737,0.426354776777345,12.7522870926697,5.60074465863221,2.72454336219565,1.45131466066431,2.26031420279821,2.6470032027451,1.18922812944517,3.91160341625552,-2.35110067203466,-20.7388393676343,-6.24017199240269,2.26694373649188,..
Afghanistan,AFG,GDP per capita (constant LCU),NY.GDP.PCAP.KN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20776.4515002662,18673.98179292,22786.028114637,23320.5135131675,22819.539376963,24504.3920631741,24781.9006411792,27679.4756257195,28143.7377008968,32940.5271756628,36582.1125191623,35406.6213245682,38338.0661520206,39124.7894392586,38757.0223828157,38111.6956952052,37997.3144825227,37923.0033062068,37273.100608254,37592.2682041301,35568.8588637036,27535.8163810913,25449.5187418113,25476.5188490654,..
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.74563529228132,2.94859680118944,1.10493826195055,-1.25159664405811,1.78064395924895,5.63724317852117,-0.787842654927232,-1.42003965566396,9.8365489718722,-9.57564016993408,-28.0021416538074,-7.18711090964234,9.55941167111243,8.30286659699082,13.3223333268813,7.33632894771891,-11.7115732812278,8.3100252038309,12.2507281968475,7.46285871776054,8.8637306604876,4.62839587394552,5.33326426009945,5.26626173860785,5.13082193056189,6.0189812403864,6.50009261158209,6.90706230713707,2.69075152362146,2.97315442681247,2.46351683915714,0.984129880204108,1.7072283175406,2.24022695382642,2.2277040745779,3.90893551362245,3.28317593330073,3.67141928098908,2.06257790176122,-3.31375636888916,8.96957619074095,4.82669611912765,3.93661689192599,3.96171911223713
Albania,ALB,GDP per capita (constant LCU),NY.GDP.PCAP.KN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,239782.07581572,248530.88104149,250508.78938186,247961.610569659,239760.287237241,239063.554995406,247704.879039889,240894.242358868,233035.013899462,249169.466402111,221292.622467117,160289.281710793,149674.04195022,164985.620615706,179784.437555806,204998.29869276,221409.465873619,196705.349300142,214396.648425938,242190.873166241,261929.351669636,287834.671569222,302061.254142071,319363.642907525,337590.11909391,356732.323765635,380597.649861473,408411.660000599,439984.175014946,454878.147058994,470733.598487618,483629.498673927,489196.287065133,498460.384713163,510683.289178929,523582.285678183,544919.302729633,563327.829475089,585452.674806097,600079.035740776,583534.975328145,641797.036312279,681004.082854488,715988.103993777,752951.146773191
Algeria,DZA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,-13.6054413245993,-19.6850418256566,34.3137287803281,5.83941300772857,6.20689821107077,-4.80497094328264,9.45296256280155,10.7962385711022,8.4332802824936,8.86265711007658,-11.3317191682878,27.423969480425,3.81317629611722,7.4949177045299,5.04534161267209,8.38675648442262,5.25858598646316,9.21483570068075,7.47782655144202,0.790606971852654,2.99999608841746,6.40000411483896,5.40000302451797,5.59999652938126,3.69999725488672,0.400001002799627,-0.69999752622347,-1.00000549065851,4.40000216059909,0.800000580174981,-1.2000005864423,1.80000230253509,-2.10000075697259,-0.899996552970833,3.79999479063817,4.09999847167964,1.09999993684249,5.10000361107312,3.20000155319546,3.80000000158476,2.99999999863043,5.40000000000001,6.50000000062043,4.49999999976698,5.39999999969525,2.89999999905852,3.10000000128674,2.49999999929371,1.19999999969519,4.80000000093564,2.99999999941909,2.40000000034432,2.60000000061164,4.09999999866501,3.20000000089023,3.90000000017621,1.49999999895587,1.40000000088281,0.899999999219148,-4.99999999908597,3.79999999900707,3.60000000094915,4.10000000005964,3.29999999939609
Algeria,DZA,GDP per capita (constant LCU),NY.GDP.PCAP.KN,96874.989792894,82226.783660235,65078.4737004564,86086.4017181378,89634.4482718388,93764.8139492192,87670.6963329708,93826.4185884045,101616.244027932,107705.526239424,114633.148195514,99370.7527137055,123742.204678168,125468.384885514,131642.772636605,133476.892578066,138230.176543279,140310.342521645,148942.12939803,155378.713927738,151805.379728958,151368.497101153,155774.817268539,158709.808095614,161973.240204549,162344.804382478,157713.167661638,151945.532533459,146271.259566196,148728.591655004,146247.678796649,141089.333809144,140173.466447764,133967.343625307,129856.544466027,132031.310675085,134780.004377081,133746.149264988,138346.354809171,140804.689871359,144123.828628969,146422.860443262,152290.098134427,160046.73862837,164929.54293094,171310.505550881,173582.406543208,176001.222416317,177149.679574274,175873.456833241,180761.36550563,182576.195825553,183269.188030994,184274.866025353,187960.459186985,190027.311151013,193421.086141907,192373.387899854,191322.991535003,189524.568879877,176992.303959864,180766.906129807,184324.854159943,189027.355404843,192553.698315908
American Samoa,ASM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.965517241379317,0.409836065573771,-0.408163265306129,-4.09836065573771,1.85185185185186,-2.65734265734265,-4.16666666666666,0.299850074962521,0,-4.33482810164425,-2.5,1.76282051282051,3.14960629921259,-1.67938931297709,-6.98757763975155,2.6711185308848,-0.487804878048777,4.41176470588236,-0.782472613458523,1.73501577287065,..,..
American Samoa,ASM,GDP per capita (constant LCU),NY.GDP.PCAP.KN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12705.4782517262,12848.6422916923,12936.0413953325,12928.9789285904,12452.5490474332,12742.1453139201,12466.8625062693,12011.9579311338,12113.4207286159,12186.9022679661,11745.4899153958,11554.2717475836,11876.7066921034,12387.0040470517,12326.5384247296,11611.6775869422,12080.6160132003,12189.0497719532,12841.381805028,12879.6343321483,13342.4351495594,..,..
Andorra,AND,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,4.64946535556467,8.14974352749283,7.78846724532318,5.61878962739297,0.54220566972954,3.30378705328451,2.83857556906837,1.46300016981581,0.0415572233591206,2.20872761148199,-0.132474492519691,1.2464611381716,1.77011827083456,1.7846866722919,2.32143303428465,3.25332182847531,5.54712216113352,5.09432619448408,4.82703427244309,3.78138754899436,2.54600353080194,0.929214040125956,-1.03148438999895,2.3831822482118,2.75750161326249,4.64973866754707,9.06767205144135,3.19479339289236,4.0990789217793,3.52836236122388,8.11935772169949,4.54636221364653,8.69420371612468,8.13567633837351,5.39779598500422,4.80868869916921,1.55318814103222,-5.55918636850581,-5.30284654348291,-1.97495799965345,-0.00806975341139093,-4.97444371853503,-3.54759651549344,2.50446552114518,1.43414039522716,3.70967806978986,0.346071889630295,1.58876549046354,2.01554763848308,-11.1839399355384,8.28677879049404,9.56461225648184,2.58355480961319,3.37182032638998
Andorra,AND,GDP per capita (constant LCU),NY.GDP.PCAP.KN,..,..,..,..,..,..,..,..,..,..,38224.6138058768,37268.7732954016,37646.1657010933,37986.9637075399,37653.8992728664,35618.4470528931,34716.4431308602,33794.9319548509,32573.5749198106,31094.8259196642,30470.6405175787,29294.7372541634,28439.4865596946,27657.8957475656,27014.0680812812,26662.3084768967,26380.5908733109,26722.6704299834,27082.0655050996,27714.0841169498,27680.9614616803,26346.9691354757,25031.1777408638,23570.2000885068,23631.4446232898,24549.0439979972,25661.6013378345,27678.7774343122,28265.1157811018,29276.8528382286,30321.38235518,32700.1457814493,33850.6300183442,35215.7269090176,35601.4799865456,36022.6553519071,36728.2779418232,36254.6258412008,33575.6632133661,31646.2426091932,32244.3188858325,33453.3252767314,32181.8465783377,31717.1582839056,33153.9118759917,34357.6634245019,35628.7665729209,34985.290728414,34879.5934115644,34972.1473965008,30697.2085810287,32823.6179878516,35358.0076532213,35755.1696843772,36472.6988698772
